,words,syllable,words1,words2,words3,words4,words5,words6,primarystress,secondarystress,wordpronouncation,category,toughnesslevel,projectweightage,sentimentalcategory,maxpitch,avgpitch,ros,phase
25,achievement,3,a,chieve,ment,N/A,N/A,N/A,chieve,N/A,uh-cheev-ment,alphabet,4,8,N/A,3995.2764,20.962955,N/A,SCREENING
26,acid,2,ac,id,N/A,N/A,N/A,N/A,ac,N/A,as-id,normal,1,5,N/A,3987.8545,13.626879,N/A,EXAM
27,acknowledge,3,ac,knowl,edge,N/A,N/A,N/A,knowl,N/A,ak-nol-ij,place,5,9,N/A,3999.6614,25.164679,N/A,EXAM
28,acquire,2,ac,quire,N/A,N/A,N/A,N/A,quire,N/A,uh-kwire,name,4,6,N/A,3995.1387,11.862008,N/A,TRAINING
29,across,2,a,cross,N/A,N/A,N/A,N/A,cross,N/A,N/A,month,2,7,N/A,3995.1387,14.74207,N/A,EXAM
30,act,1,act,N/A,N/A,N/A,N/A,N/A,act,N/A,akt,Number,1,8,N/A,3995.2285,30.467575,N/A,EXAM
31,action,2,ac,tion,N/A,N/A,N/A,N/A,ac,N/A,ak-shon,alphabet,1,8,N/A,3996.6233,38.88026,N/A,EXAM
32,active,2,ac,tive,N/A,N/A,N/A,N/A,ac,N/A,ak-tiv,normal,1,9,N/A,3996.657,29.137302,N/A,EXAM
33,activist,3,ac,tiv,ist,N/A,N/A,N/A,tiv,N/A,ak-tuh-vist,place,3,8,N/A,3995.5913,14.81806,N/A,TRAINING
34,activity,4,ac,tiv,i,ty,N/A,N/A,tiv,N/A,ak-tiv-i-tee,name,2,9,N/A,3991.2212,10.105938,N/A,EXAM
35,actor,2,ac,tor,N/A,N/A,N/A,N/A,ac,N/A,ak-ter,month,1,7,N/A,3985.9038,15.323391,N/A,EXAM
36,actress,2,ac,tress,N/A,N/A,N/A,N/A,ac,N/A,ak-tris,Number,2,7,N/A,3996.657,27.200718,N/A,EXAM
37,actual,3,ac,tu,al,N/A,N/A,N/A,ac,N/A,ak-choo-ul,alphabet,3,8,N/A,3982.4797,22.96846,N/A,EXAM
38,actually,4,ac,tu,al,ly,N/A,N/A,ac,N/A,ak-choo-uh-lee,normal,3,9,N/A,3993.7703,25.478983,N/A,TRAINING
39,ad,1,ad,N/A,N/A,N/A,N/A,N/A,ad,N/A,ad,place,1,5,N/A,3997.2058,28.17681,N/A,EXAM
40,adapt,2,a,dapt,N/A,N/A,N/A,N/A,a-dapt,N/A,uh-dapt,name,2,6,N/A,3994.7805,32.43056,N/A,TRAINING
41,add,1,add,N/A,N/A,N/A,N/A,N/A,add,N/A,ad,month,1,8,N/A,3997.2058,28.17681,N/A,EXAM
42,addition,3,ad,di,tion,N/A,N/A,N/A,di,N/A,uh-dish-un,Number,2,7,N/A,3991.927,24.97762,N/A,SCREENING
43,additional,4,ad,di,tion,al,N/A,N/A,di,N/A,uh-dish-uh-nl,alphabet,2,9,N/A,3996.6218,22.008411,N/A,SCREENING
44,address,2,ad,dress,N/A,N/A,N/A,N/A,dress,N/A,N/A,normal,2,9,N/A,3999.2598,23.596542,N/A,TRAINING
45,adequate,3,ad,e,equate,N/A,N/A,N/A,ad,N/A,ad-i-kwit,place,3,7,N/A,3996.0664,18.681604,N/A,EXAM
46,adjust,2,ad,just,N/A,N/A,N/A,N/A,just,N/A,uh-juhst,name,2,8,N/A,3996.3298,19.96272,N/A,SCREENING
47,adjustment,3,ad,just,ment,N/A,N/A,N/A,just,N/A,uh-juhst-ment,month,3,8,N/A,3994.4543,15.158141,N/A,TRAINING
48,administration,5,ad,min,is,tra,tion,N/A,tra,min,ad-min-uh-strey-shun,Number,5,8,N/A,3998.83,21.879944,N/A,SCREENING
49,administrator,5,ad,min,is,tra,tor,N/A,tra,min,ad-min-uh-strey-ter,alphabet,5,9,N/A,3995.698,17.830536,N/A,EXAM
50,admire,2,ad,mire,N/A,N/A,N/A,N/A,mire,N/A,ad-mire,normal,3,7,N/A,3975.7112,8.588808,N/A,TRAINING
51,admission,3,ad,mis,sion,N/A,N/A,N/A,mis,N/A,ad-mish-un,place,3,7,N/A,3995.6172,22.264069,N/A,SCREENING
52,admit,2,ad,mit,N/A,N/A,N/A,N/A,mit,N/A,ad-mit,name,2,7,N/A,3975.7112,14.369487,N/A,TRAINING
53,adolescent,4,ad,o,les,cent,N/A,N/A,les,ad,ad-l-es-ent,month,5,6,N/A,3989.5938,10.946481,N/A,SCREENING
54,adopt,2,a,dopt,N/A,N/A,N/A,N/A,dopt,N/A,uh-dopt,Number,2,7,N/A,3940.597,18.288315,N/A,EXAM
55,adult,2,a,dult,N/A,N/A,N/A,N/A,dult,N/A,NaN,name,2,8,N/A,3999.395,24.123743,N/A,TRAINING
56,advance,2,ad,vance,N/A,N/A,N/A,N/A,vance,N/A,NaN,number,2,7,N/A,3975.7112,18.21056,N/A,EXAM
57,advanced,2,ad,vanced,N/A,N/A,N/A,N/A,vanced,N/A,NaN,place,2,8,N/A,3999.6648,12.846929,N/A,SCREENING
58,advantage,3,ad,van,tage,N/A,N/A,N/A,van,N/A,NaN,month,2,8,N/A,3997.845,20.244995,N/A,TRAINING
59,adventure,3,ad,ven,ture,N/A,N/A,N/A,ven,N/A,ad-ven-cher,number,2,6,N/A,3994.9497,21.163702,N/A,SCREENING
60,advertising,4,ad,ver,tis,ing,N/A,N/A,ver,N/A,ad-ver-tahy-zing,month,3,6,N/A,3996.657,11.927126,N/A,TRAINING
